kind,old_number,new_number,source,revision_artifact,operation
table,A.7,A.7.1,results/reference/artifacts/caged/diagnostics/ddd_multiplicity_results.csv; results/reference/artifacts/caged/diagnostics/ddd_alternative_partitions.csv,tables/ddd_income.md,"complete DDD estimates, partitions and diagnostics"
table,5.2.5,A.7.2,results/reference/artifacts/caged/models/group_did_results.csv,tables/did_income.md,within-group DiDs moved and expanded to all saved partitions
figure,5.2.1.1,A.3.1,results/reference/artifacts/caged/models/group_event_study_coefficients.csv,figures/figure_A_3_1_sex_admissions.png,"same series, intervals, and plotting function; title and note revised; old copy retained under manual marker"
figure,5.2.1.2,A.3.2,results/reference/artifacts/caged/models/group_event_study_coefficients.csv,figures/figure_A_3_2_sex_wage.png,"same series, intervals, and plotting function; title and note revised; old copy retained under manual marker"
figure,5.2.2.1,A.4.1,results/reference/artifacts/caged/models/group_event_study_coefficients.csv,figures/figure_A_4_1_race_admissions.png,"same series, intervals, and plotting function; title and note revised; old copy retained under manual marker"
figure,5.2.2.2,A.4.2,results/reference/artifacts/caged/models/group_event_study_coefficients.csv,figures/figure_A_4_2_race_wage.png,"same series, intervals, and plotting function; title and note revised; old copy retained under manual marker"
figure,5.2.3.1,A.5.1,results/reference/artifacts/caged/models/group_event_study_coefficients.csv,figures/figure_A_5_1_age_admissions.png,"same series, intervals, and plotting function; title and note revised; old copy retained under manual marker"
figure,5.2.3.2,A.5.2,results/reference/artifacts/caged/models/group_event_study_coefficients.csv,figures/figure_A_5_2_age_wage.png,"same series, intervals, and plotting function; title and note revised; old copy retained under manual marker"
figure,5.2.4.1,A.6.1,results/reference/artifacts/caged/models/group_event_study_coefficients.csv,figures/figure_A_6_1_education_admissions.png,"same series, intervals, and plotting function; title and note revised; old copy retained under manual marker"
figure,5.2.4.2,A.6.2,results/reference/artifacts/caged/models/group_event_study_coefficients.csv,figures/figure_A_6_2_education_wage.png,"same series, intervals, and plotting function; title and note revised; old copy retained under manual marker"
figure,5.2.5.1,A.7.1,results/reference/artifacts/caged/models/group_event_study_coefficients.csv,figures/figure_A_7_1_income_admissions.png,"same series, intervals, and plotting function; title and note revised; old copy retained under manual marker"
figure,5.2.5.2,A.7.2,results/reference/artifacts/caged/models/group_event_study_coefficients.csv,figures/figure_A_7_2_income_wage.png,"same series, intervals, and plotting function; title and note revised; old copy retained under manual marker"
figure,5.2.3.3,A.5.3,results/reference/artifacts/caged/models/canaries_22_25_wage_event_study.csv,figures/figure_A_5_3_canaries_wage.png,same series and intervals; title and incorrect uniqueness note revised; old copy retained under manual marker
figure,5.2.6,A.8.1,results/reference/artifacts/caged/backing_data/figure_5_2_6_group_outcome_forest.csv,figures/figure_a_8_1_admissoes.png,split synthesis into three outcomes; saved intervals and support retained
figure,5.2.6,A.8.2,results/reference/artifacts/caged/backing_data/figure_5_2_6_group_outcome_forest.csv,figures/figure_a_8_2_desligamentos.png,split synthesis into three outcomes; saved intervals and support retained
figure,5.2.6,A.8.3,results/reference/artifacts/caged/backing_data/figure_5_2_6_group_outcome_forest.csv,figures/figure_a_8_3_ln_salario_real_adm.png,split synthesis into three outcomes; saved intervals and support retained
