qc_sequence	row_id	claim_id	occurrence_id	citation_key	claim_type	source_type	source_path	claim_row_sha256	bibliography_entry_sha256	source_sha256	primary_prompt_sha256	primary_result_sha256	selection_reasons	qc_status	qc_prompt_path	qc_prompt_sha256	qc_result_sha256	comparison_status
11	ROW-0012	CLM-008	CIT-005	klein_teeselink_generative_2025	DIRECT	PDF	references/pdfs/klein_teeselink_generative_2025.pdf	071ea2f1e43faa49787ca756ec14adb629cff7c0b08230439e0cc9e1f1a0e498	2fcfbdc92fa5b403a79c7ad8335985dd1e4e98118cb3fffff353dad1dae486eb	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09	673bbb95f65fdae1532886c155fd9f1236aa4ba2ea49a43f7cd623363071d779	49858568cea2fd692d4aa1e631c55cc20597046487e507124344b18da475d5a8	NON_SUPPORTED;SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0012.md	760e7beaae69b8765a8359bca8c862f34042694489af823cb7b8a7f8a58fb605	2e3a9cea25b1df2a5ec63f5fac892db03d0b9212dce2fa84f9297a704500e1c1	NEEDS_ADJUDICATION
12	ROW-0013	CLM-009	CIT-003	brynjolfsson_canaries_2025	DIRECT	PDF	references/pdfs/brynjolfsson_canaries_2025.pdf	c431f80c93fcb99a7b0e69a32b5f7aeb003edf71ae57fb614c3c66f51e648d0e	6bfdd348a983da27398ec207223b461fe1ea440d9aa9363b26b69cc9052168f0	75012cdca09a734e64e6dd75e635551286549343dd7549252284dea9dc454a7d	479dd91cddcfbaf51427fce222743a07976885bf0e18461023dedb2d893a3bdd	ce5562aa12c7d78a39fbed01945903ffa6214204073937e66f7b3ffaf82027ad	NON_SUPPORTED;SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0013.md	8891b5a3a8e58ddf933c3ea39e689d4fcb398a9ba2c53626184ba63f3d0fdaf2	2bfd0c1029bfecf45788e5a1e7e0292e8deab3e0abd05a5f09ef4e841d55fcd4	AGREES
13	ROW-0014	CLM-009	CIT-004	hosseini_maasoum_generative_2025	DIRECT	PDF	references/pdfs/hosseini_maasoum_generative_2025.pdf	cd78bc05378b26b257e7afa792e0ecaf34f93e70b2c106190271c7660536cd2d	e447a02cb42e49209aca1b6ef7aa4f25012161bca13403561e1721d6a10d1dc1	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7	0e4debfa17eeb117229d5ac1aa8887fdfaf68de065a277640a79b55af106310d	b5819e659fe9b812e3a40369e776e5df93bac3b080218189dae7791a60d56808	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0014.md	f4a7f48c6d317d63f636ceb6a1c92107abbbde91bc30e51c5742f95e6be0cfc0	6872cbf0cba25fa846c23bc7104339d2e3879e07ce850f966ed996a9c00abc2e	AGREES
14	ROW-0015	CLM-009	CIT-005	klein_teeselink_generative_2025	DIRECT	PDF	references/pdfs/klein_teeselink_generative_2025.pdf	3a42b9e0045a77a9ba97ec4fc3cb9ae042ab09973d8c0137a035165e4cfddfee	2fcfbdc92fa5b403a79c7ad8335985dd1e4e98118cb3fffff353dad1dae486eb	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09	614103d4bfad7ff4b90e53696690fc9dae5dad1b88cafb113488b2e575c907d0	4dbed6d4a072fb6be87241fe4b2d43b25f1bcdcafdc5db171d99c894e523e789	NON_SUPPORTED;SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0015.md	c1f60d892524c93270a775649d8f4ff70b2968c95df44e49839d311252703ce8	4d9ae3217b95e5ee27d1c2d0d600a00a38e9d459c1e8c164fe5a34f491860b98	AGREES
15	ROW-0016	CLM-010	CIT-003	brynjolfsson_canaries_2025	DIRECT	PDF	references/pdfs/brynjolfsson_canaries_2025.pdf	3b144b26d5da75ef22ce4afe0f811a5932e1ecbee2d35cc15be0d7106a5fb65c	6bfdd348a983da27398ec207223b461fe1ea440d9aa9363b26b69cc9052168f0	75012cdca09a734e64e6dd75e635551286549343dd7549252284dea9dc454a7d	3b11ea241aba3004e7fd3eeda65cc5937bf91a53ca3ea310f228420095731451	50915a72da204f5c59f4ff3f9a68d1f42a9a78c74562c7d50be70929fd7c3354	NON_SUPPORTED;SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0016.md	39ba0d47538c3f3a5bc7370bf6a92e291a2fa0e3339dc002f7e079065119d3ae	aeaf0b899a56330523055a1a73832b616329d12657428c54e6a40c60f57b25ad	NEEDS_ADJUDICATION
16	ROW-0017	CLM-010	CIT-004	hosseini_maasoum_generative_2025	DIRECT	PDF	references/pdfs/hosseini_maasoum_generative_2025.pdf	7faeb7478b9ee46c26842f2630f26fe8bf556fd4a4940baeee3ad03da9acdbb9	e447a02cb42e49209aca1b6ef7aa4f25012161bca13403561e1721d6a10d1dc1	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7	f10c65101f34a71d0ecbe88edb57c26e6556ad81d68cccb3629f4213a09b6bdd	ad12fe396e57b7e465da9944106322d5acff8fecb49b09c15260d1b4d8c7c047	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0017.md	80405d537197882e77b2a8f9d9a03c371488c6192d52a87e36c56a9f2b1250e3	2be46e532577e09dedca4bbcbc147f0c83322aaf4607a6a36dc213741129b8c5	NEEDS_ADJUDICATION
17	ROW-0018	CLM-010	CIT-005	klein_teeselink_generative_2025	DIRECT	PDF	references/pdfs/klein_teeselink_generative_2025.pdf	fabdf16f83e3c681bf683a948b775362e8e6132ed4ae0a7c60fa7e200a66f043	2fcfbdc92fa5b403a79c7ad8335985dd1e4e98118cb3fffff353dad1dae486eb	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09	2fc61a89355269465f1e7c615d827e6acc24ea8d70b60dcfd7d176a8ac16779e	65f87b0103a1ff4a6f7f83dc56ddbc44d02bac7545876ba461d00f27149cfc5c	NON_SUPPORTED;SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0018.md	6e466d8067584ff9f4104bbba308781966cdecd60e07dc3479e63b08d7f11173	87bfec2cce848550d3e0f3593a2e5c70e27207455d077deeb5c388d7af239e89	NEEDS_ADJUDICATION
18	ROW-0019	CLM-011	CIT-003	brynjolfsson_canaries_2025	DIRECT	PDF	references/pdfs/brynjolfsson_canaries_2025.pdf	7788d63f9abb0ac83c8e6566d1113e7c735850a6e5e172426954fa2692ccd51e	6bfdd348a983da27398ec207223b461fe1ea440d9aa9363b26b69cc9052168f0	75012cdca09a734e64e6dd75e635551286549343dd7549252284dea9dc454a7d	83028d14a57d259c34279c70d096a4ebe195050a1242814a738ec3b3863bd75d	aca166ae9fb340a161601cacdd304a087a5584d2250e94334afe9e462e265fb3	NON_SUPPORTED;SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0019.md	060fd0bd21a31f3715bc1bf0ec60de116da7c82414bb84f52bea94e74101cc3c	ab9b3836eaeaf9d52cebdf83983c330d411838b7501d74f204336e85baf8301c	NEEDS_ADJUDICATION
19	ROW-0020	CLM-011	CIT-004	hosseini_maasoum_generative_2025	DIRECT	PDF	references/pdfs/hosseini_maasoum_generative_2025.pdf	d3209ad17b0638fe93996483eaa7d7cde87ff4ddf78041013b98957b031a3078	e447a02cb42e49209aca1b6ef7aa4f25012161bca13403561e1721d6a10d1dc1	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7	d51d744f0a7f287c8c50dffe847aa7ff0e419bc73f16faf201add22d669af976	68302cd01e474cdad5128bbbedefbfc35b926f5d9adae93df53204fae9ab3431	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0020.md	0a2426a301ec9f30a875ed36644ddcfa80ce584f59c9ccdc8c89b43e5c5c3409	b30379218ae237067dbd75d2c9cf33346433824bf75d8e5f255b1a8c86e2cce2	NEEDS_ADJUDICATION
20	ROW-0021	CLM-011	CIT-005	klein_teeselink_generative_2025	DIRECT	PDF	references/pdfs/klein_teeselink_generative_2025.pdf	de544645c6ba1a83a2bf7f046cfb83923b2fda859b13688c23ab1beb8dacbe82	2fcfbdc92fa5b403a79c7ad8335985dd1e4e98118cb3fffff353dad1dae486eb	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09	a2d525ae4c6b03409f1792b82ba1ffe8dabbe872686cae065638172effbb2236	ae9803d2671a1129f40956d39586e0952d99b6b9d08c45ba21c5140968d1d9ea	NON_SUPPORTED;SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0021.md	6bc01cff14121447eee6b5dbe02bd68d62e0cd71a9b9e69875c23584018a871d	a9314f09e074e7dd7246da3816bc1d4b3e0b27b982c029cde817e7a4407d6390	NEEDS_ADJUDICATION
21	ROW-0022	CLM-012	CIT-003	brynjolfsson_canaries_2025	AUTHOR_INFERENCE	PDF	references/pdfs/brynjolfsson_canaries_2025.pdf	ae0dd14734286fb547821ba250092d5cd0c7ab02085e510f0e5622cfa0161eba	6bfdd348a983da27398ec207223b461fe1ea440d9aa9363b26b69cc9052168f0	75012cdca09a734e64e6dd75e635551286549343dd7549252284dea9dc454a7d	5997a374257e6f72472af0460fb2f6ce8b0c7aa18456510a7ce834571496685f	b7148ede6b342ddf7434fbc0a4eb79e913a122ce30870c9d025210e5b7a3064c	NON_SUPPORTED;SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0022.md	e57ad620c693649be9a26e77b3ccc9d17c2276a2a0efa757cafd0e81b889d86c	1fa1ea877610185b7e86120b2f0cee98eb65327c39343643a670f7a19a92c819	AGREES
22	ROW-0023	CLM-012	CIT-004	hosseini_maasoum_generative_2025	AUTHOR_INFERENCE	PDF	references/pdfs/hosseini_maasoum_generative_2025.pdf	5fe0b685cc26388fa43434e973c92af3e53713e80cd12d9075bf259f0c9f2e48	e447a02cb42e49209aca1b6ef7aa4f25012161bca13403561e1721d6a10d1dc1	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7	bc8c9cbef8fdaee3f12d461ef643162458278bf532f86804949d93d2231f708e	eaf4923912dba3a5db107807a0ac6d80f2b39635bc925dd308ff38f9da7e40b5	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0023.md	36471858a9beef9e33d7061b2175fda0cdf4e43c40f2948652900da87977ead1	0b91d71c908b832ba20a8e8b50c82b6e292703020930da4048b8a36fc43b339e	NEEDS_ADJUDICATION
23	ROW-0024	CLM-012	CIT-005	klein_teeselink_generative_2025	AUTHOR_INFERENCE	PDF	references/pdfs/klein_teeselink_generative_2025.pdf	406c7a8e36333af5f7ddda4935798d89f187387568fcfb5440fee7f24176ba66	2fcfbdc92fa5b403a79c7ad8335985dd1e4e98118cb3fffff353dad1dae486eb	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09	2a0b4d549eace0c1aa56588661f59b474d65814d9f0a8505825abaf360ef040b	742e45313b2ed7a25371fb90472063df5247a4b742b8dfcc586332758285b686	SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0024.md	4db7fcc2d9688666ea47caccc74380c2ec8e2787b286c291330acf932ab7f98a	44d818b7fce268ea9268a24427fa4579f820d890e6f8b7102b4c2e5503e5dde4	NEEDS_ADJUDICATION
24	ROW-0025	CLM-013	CIT-006	gmyrek_generative_2025	DIRECT	PDF	references/pdfs/gmyrek_generative_2025.pdf	2e7a3fc54143f1f65d455c167549b3bc0296f7f1eb9aa28b050b748112c2e66d	0f7243bee9c197dfedbc52fc8e6af5336e9f9ba3152a4ad8a8341ea4521e0daf	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	1b7af15cad6d1ef6dfc377e1567109887de9649942b6d443f3bde869ca2038a2	442f3bee87104479a102a9582fd32cdfc7c2eeadbcb07b0382f72478907c2958	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0025.md	1b38fe938a109e27b2e05b217174240bbc30b9bbd71bd36fbca911e9f7aa9bd5	0ed51ca346e485f91ea8ac6abb8e3662f5c9dbc0b3c91d090c03c245a85573db	NEEDS_ADJUDICATION
25	ROW-0026	CLM-014	CIT-006	gmyrek_generative_2025	DIRECT	PDF	references/pdfs/gmyrek_generative_2025.pdf	de48399f7ca4d018009ef77ff47e88169522305e337f4a82f21934212cd1f572	0f7243bee9c197dfedbc52fc8e6af5336e9f9ba3152a4ad8a8341ea4521e0daf	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	2bf1e568345974f98db0cf5e21ed1dac29c2e860a017a8a1c1aa5f90bb5151e5	6e748f2f7dfc35c1bed07d83dc2dea0422435fa7f1a80e8153ccbfad3e76a493	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0026.md	afd1fdb36b854a03af252557eb6d5213e2a0feee5f302b49d3a71c1973ebffe9	cc219fe099b9e964fa51d5225103ef6b9a4f15e557572d0ba44ef3b52bf8f62a	AGREES
26	ROW-0027	CLM-015	CIT-006	gmyrek_generative_2025	DIRECT	PDF	references/pdfs/gmyrek_generative_2025.pdf	5331e9af3d749e170d335fed57cd09dd0b67094e5381928e2fed2cea84a39b19	0f7243bee9c197dfedbc52fc8e6af5336e9f9ba3152a4ad8a8341ea4521e0daf	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	c7ecf3f132f89fd3ceebef9fe99a48d7d70b537cfb7614e9829b6fa81aac308b	b360cbfe488136156422c7e9650b9cc1e3c26baeb4bad6d095bf79282ad4bd20	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0027.md	237426c9addf5b2013ff3955a7eb515416e1807017b7a6793e81a52936368f35	c96e74d9bd3f16b646d5158606d0c9d3d655a946d09b46fa57f4d17c4f6a29eb	NEEDS_ADJUDICATION
27	ROW-0029	CLM-017	CIT-006	gmyrek_generative_2025	AUTHOR_INFERENCE	PDF	references/pdfs/gmyrek_generative_2025.pdf	47f88820a7351422919632f0555edc107cbda17bea83ade4f4dc813ec3be3576	0f7243bee9c197dfedbc52fc8e6af5336e9f9ba3152a4ad8a8341ea4521e0daf	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	a649eb1d72b14585a4e0e07a52723912cef6501c205b5a6dcde8f036e0f351c7	ce25b4429a23c3513db20f64e222422499f7372dd2c53eadf0973d6dc53ea01f	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0029.md	1407e4f5cf66c45fc6640fdf80fa9d9f126ac9989b7edb32509312dad576ca32	a47a45655ad16b11bf076919107cd4ce4903bce440c8eae87933c8579bb50f2c	AGREES
28	ROW-0030	CLM-018	CIT-007	brynjolfsson_canaries_2025	DIRECT	PDF	references/pdfs/brynjolfsson_canaries_2025.pdf	1399ee164a50a2f4a511f342a46d547f0491d53b19808e7b6e8cfaa355ba5fe2	6bfdd348a983da27398ec207223b461fe1ea440d9aa9363b26b69cc9052168f0	75012cdca09a734e64e6dd75e635551286549343dd7549252284dea9dc454a7d	cc05c9e2311ee12a978fc0ddc45cbeed3292bf6c98aa68dcf0fbc42b3ecd5b9f	432f1891a3c96ac1d4941666c3b832496d06fa9f01235659f3fbf21c84fe5608	SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0030.md	e70fca4e5b63f5a69766b6fdb40c8f37ccd131a51def253d41410d61f9d8b58d	89d6f2e661ed95151e1b0c037a1819b08a35dfa2bebe7c1cceab103b3ebd92af	AGREES
29	ROW-0031	CLM-019	CIT-007	brynjolfsson_canaries_2025	DIRECT	PDF	references/pdfs/brynjolfsson_canaries_2025.pdf	48dbd0898ea589ac22585e27fc5d5d1bfc413afbc821f002f14645654b6b0d94	6bfdd348a983da27398ec207223b461fe1ea440d9aa9363b26b69cc9052168f0	75012cdca09a734e64e6dd75e635551286549343dd7549252284dea9dc454a7d	8e41ad58039959a3bcaf2e54281baa49592b34e303f5fdb281dfbb688a8ec727	0c6f650bc2d47745d4f5a4812cf01303b3bc3ebc394444f5d88be0389f2a9ae9	SOURCE_VERSION_ISSUE	COMPLETED	quality_control/prompts/ROW-0031.md	18738bf0f7ca91010b8f5418f4ffd66bf34e62d980a29caac0b6b0530134e3fb	cbb44a8571e1f1b075d28f52648a7f83194c2f27a34a3e824159eacdf46e2eb5	AGREES
30	ROW-0032	CLM-020	CIT-008	autor_skill_2003	DIRECT	PDF	references/pdfs/autor_skill_2003.pdf	759dfd926765e2eff73dba067f08be2dc821b9e4fde1e5700814ddc7aa9756d2	44f3875e71e39f59c3d1f5b2ff894a235a3bc3f67436df4d9bf4dc8bfde01f95	f4f159ef84aecd49767b43ac2dad9871929e94283587be868b7d04d54d1c2488	4fbaf8eb18b465b381d26119cabe3f2f535caa538fab9de53e1f1d8c4f30fe69	c1bceec29f6b3faf9b370405fb9b95e957f515deffe35bae3e1b709bf098344b	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0032.md	36f5536f33b8941296f10dee744d4e347dfba1ad9c72caf6d25e8769fd14fa7c	75276ec2e68e97913c4ff588a1ac22a1f0f844876da94850b6fb7ca390d94a18	AGREES
31	ROW-0035	CLM-023	CIT-009	agarwal_combining_2023	DIRECT	PDF	references/pdfs/agarwal_combining_2023.pdf	91d41fe793e36fe1cd38ab4eae9242080c53926899ad0bfad0077b2b8fbf02fc	3d56a260662c16bbb1ca87815b2a65642628c556242fabd1550695b987d3abdc	7e3c307db768df2d4e4d1b31247229e75fb3e819015ff3d7344539edd7600e74	571155f85ea9c432e5f9c4143d994b9d2e9ebeccedefd43e89244ae7e188c29f	9940564543520c3deaecdc9fcff4b8431c7b8ef55cc08a14a868b50ab77674bc	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0035.md	a6ef0404a83f2138928070caa6df7c2644d637539c83b95361a3d210dedacb2e	8a134d2fbe13c3d9be9337cebc082e98d3e56c381d214991243e3c1661060eb3	AGREES
32	ROW-0036	CLM-024	CIT-009	agarwal_combining_2023	AUTHOR_INFERENCE	PDF	references/pdfs/agarwal_combining_2023.pdf	d40526a8a92e828d93ec8a821c8f1c598b082fab353ff6fc2b8f99f486ccc132	3d56a260662c16bbb1ca87815b2a65642628c556242fabd1550695b987d3abdc	7e3c307db768df2d4e4d1b31247229e75fb3e819015ff3d7344539edd7600e74	4990cf5ec1a214c2633d0fafb3370fe1f7cf76a9b4b377b899cb9d9278ba131f	95ca152994b5df729d1c63e69de855c9cd4801fc14751693a9d9cd8a07963eec	NON_SUPPORTED	COMPLETED	quality_control/prompts/ROW-0036.md	e2f2b71937b282138be14d969b7743d4041439957d1220c9007024d88cd2c299	750c1a68b98882d37f026840dec41520c2bcdf1c05eebda60f9817a863e815d6	NEEDS_ADJUDICATION
