result_id,case_id,dimension,group_id,outcome,terminal_change_pct,support_status,terminal_months,alternative_normalization_change_pct,same_month_change_pct,normalization_delta_pp,same_month_delta_pp,raw_wage_delta_pp,cell_mean_winsorization_delta_pp,pre_months_observed,annualized_log_slope_pct,coefficient_of_variation,eligible_for_review,stable_across_time_baselines,selection_decision,selection_reason,selection_basis
customer_service__age__age_50_plus__admissions,customer_service,age,age_50_plus,admissions,29.6875,adequate,6,37.14474554,47.03199624,7.457245539,17.34449624,,,22,37.32791691,0.1973730039,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__age__age_50_plus__real_admission_wage,customer_service,age,age_50_plus,real_admission_wage,3.488592899,adequate,6,4.650379114,5.410672126,1.161786215,1.922079227,1.556705513,1.556705513,22,-0.3842591034,0.02789146724,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__education__education_other__admissions,customer_service,education,education_other,admissions,-2.638596491,adequate,6,-15.43080065,-18.35684135,-12.79220415,-15.71824486,,,22,-10.61559684,0.1058125245,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__education__education_other__real_admission_wage,customer_service,education,education_other,real_admission_wage,6.551326498,adequate,6,10.1728361,11.53744764,3.621509606,4.986121145,0.9911119913,0.9911119913,22,0.9904466899,0.02124438917,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__education__higher_education__admissions,customer_service,education,higher_education,admissions,3.302154195,adequate,6,-21.05320163,-24.50981805,-24.35535582,-27.81197225,,,22,-6.656285258,0.1177302277,True,False,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__education__higher_education__real_admission_wage,customer_service,education,higher_education,real_admission_wage,6.362640876,adequate,6,10.56245768,11.07762041,4.199816806,4.714979537,-23.20698976,-23.20698976,22,-0.2037308265,0.0352538992,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__overall__all__admissions,customer_service,overall,all,admissions,-1.459669254,adequate,6,-16.66547743,-19.74652724,-15.20580818,-18.28685798,,,22,-9.87023834,0.09585853676,True,True,main_text_context,The case-level summary is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__overall__all__real_admission_wage,customer_service,overall,all,real_admission_wage,6.621638301,adequate,6,10.05214192,11.12365388,3.43050362,4.50201558,-5.810671082,-5.810671082,22,0.7739686588,0.02146100527,True,True,main_text_context,The case-level summary is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__race_color__race_black_combined__admissions,customer_service,race_color,race_black_combined,admissions,41.56299156,adequate,6,11.66192925,6.528731469,-29.90106231,-35.03426009,,,22,-16.42497219,0.1451451419,True,True,main_text_secondary,"This demographic dimension passes the frozen cross-case support, magnitude, and sensitivity rule.",Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__race_color__race_black_combined__real_admission_wage,customer_service,race_color,race_black_combined,real_admission_wage,5.998388877,adequate,6,9.803747634,10.99309017,3.805358757,4.994701296,3.794638244,3.794638244,22,1.511726653,0.02844037855,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__race_color__race_white__admissions,customer_service,race_color,race_white,admissions,0.2633711507,adequate,6,-7.966675345,-10.19650949,-8.230046496,-10.45988064,,,22,-7.378474535,0.09508019472,True,False,main_text_secondary,"This demographic dimension passes the frozen cross-case support, magnitude, and sensitivity rule.",Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__race_color__race_white__real_admission_wage,customer_service,race_color,race_white,real_admission_wage,7.070345556,adequate,6,10.20008727,11.31073824,3.129741711,4.240392687,-16.66478137,-16.66478137,22,-0.08169648082,0.02323963411,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__sex__men__admissions,customer_service,sex,men,admissions,1.78041543,adequate,6,-11.49300717,-14.8917032,-13.2734226,-16.67211863,,,22,-8.326423003,0.08051243722,True,False,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__sex__men__real_admission_wage,customer_service,sex,men,real_admission_wage,8.469727183,adequate,6,12.43618603,13.27393418,3.966458849,4.804207001,-0.3611642175,-0.3611642175,22,0.04096434409,0.02464554424,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__sex__women__admissions,customer_service,sex,women,admissions,-2.746993634,adequate,6,-18.64249645,-21.58797994,-15.89550282,-18.84098631,,,22,-10.44189278,0.1038266047,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
customer_service__sex__women__real_admission_wage,customer_service,sex,women,real_admission_wage,5.732359017,adequate,6,8.906528508,10.06971002,3.174169492,4.337350998,-7.889942945,-7.889942945,22,1.037104715,0.02088930813,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__age__age_22_25__admissions,health_care_aides,age,age_22_25,admissions,13.90946502,adequate,6,17.14914508,22.28354592,3.239680062,8.374080902,,,22,17.98530109,0.169293781,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__age__age_22_25__real_admission_wage,health_care_aides,age,age_22_25,real_admission_wage,-5.790238574,adequate,6,-28.52451224,-30.37285151,-22.73427366,-24.58261293,-4.3158803,-4.3158803,22,11.98609015,0.205007958,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__age__age_26_30__admissions,health_care_aides,age,age_26_30,admissions,50.79977149,adequate,6,44.53296102,50.57754061,-6.266810478,-0.2222308832,,,22,17.14773368,0.1788899191,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__age__age_26_30__real_admission_wage,health_care_aides,age,age_26_30,real_admission_wage,1.636599643,adequate,6,-28.65496329,-25.79164145,-30.29156293,-27.42824109,6.752838384,6.752838384,22,4.667683671,0.215100773,True,False,main_figure_only,"The wage path is shown, but its terminal direction changes under at least one time baseline.",Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__age__age_31_34__admissions,health_care_aides,age,age_31_34,admissions,33.27862874,adequate,6,34.78276905,41.57374881,1.504140311,8.295120075,,,22,15.67638827,0.1729956561,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__age__age_31_34__real_admission_wage,health_care_aides,age,age_31_34,real_admission_wage,-29.50779704,adequate,6,-28.14657121,-26.95461092,1.361225833,2.553186119,5.329254465,5.285289828,22,11.26788112,0.1891915994,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__age__age_35_40__admissions,health_care_aides,age,age_35_40,admissions,38.24200913,adequate,6,33.5072762,37.48060449,-4.734732931,-0.761404638,,,22,14.27005496,0.1620550091,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__age__age_35_40__real_admission_wage,health_care_aides,age,age_35_40,real_admission_wage,-29.31501003,adequate,6,-28.14284571,-25.62493255,1.172164316,3.690077473,-3.137815823,-3.137815823,22,11.05878564,0.1873215338,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__age__age_41_49__admissions,health_care_aides,age,age_41_49,admissions,61.56531532,adequate,6,64.87393413,75.19842317,3.308618813,13.63310785,,,22,28.82964281,0.220497594,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__age__age_41_49__real_admission_wage,health_care_aides,age,age_41_49,real_admission_wage,-37.59091032,adequate,6,-31.54190261,-30.75759922,6.049007705,6.833311098,2.228546131,2.228546131,22,18.19904326,0.1895867432,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__age__age_50_plus__admissions,health_care_aides,age,age_50_plus,admissions,94.64788732,adequate,6,97.93755371,107.4030066,3.289666386,12.75511931,,,22,43.17149423,0.3055469113,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__age__age_50_plus__real_admission_wage,health_care_aides,age,age_50_plus,real_admission_wage,-48.84732289,adequate,6,-47.29901711,-37.5989314,1.54830578,11.2483915,6.315990502,6.315990502,22,27.09517728,0.3760526832,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__education__education_other__admissions,health_care_aides,education,education_other,admissions,43.29811173,adequate,6,42.86829078,49.02382324,-0.4298209511,5.725711505,,,22,20.424004,0.1861597929,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__education__education_other__real_admission_wage,health_care_aides,education,education_other,real_admission_wage,-27.8775932,adequate,6,-34.58913056,-31.96467655,-6.711537369,-4.087083358,2.347364437,2.347364437,22,17.01164006,0.1946757022,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__education__higher_education__admissions,health_care_aides,education,higher_education,admissions,68.15434682,adequate,6,68.22473373,72.24915851,0.07038691788,4.094811698,,,22,11.91582261,0.2091363098,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__education__higher_education__real_admission_wage,health_care_aides,education,higher_education,real_admission_wage,-2.597604547,adequate,6,-16.21158964,-14.8478532,-13.61398509,-12.25024866,-3.271033568,-3.356095608,22,-1.298274885,0.1671803637,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__overall__all__admissions,health_care_aides,overall,all,admissions,45.66458638,adequate,6,45.27492319,51.24747151,-0.3896631853,5.582885136,,,22,19.47752324,0.1843637035,True,True,main_text_context,The case-level summary is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__overall__all__real_admission_wage,health_care_aides,overall,all,real_admission_wage,-25.88374081,adequate,6,-33.06030323,-30.6610178,-7.176562421,-4.777276994,2.079757844,2.079757844,22,15.40805326,0.1861715449,True,True,main_text_context,The case-level summary is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__race_color__race_black_combined__admissions,health_care_aides,race_color,race_black_combined,admissions,139.1307296,adequate,6,129.0392134,133.1374397,-10.0915162,-5.993289867,,,22,15.74210911,0.1545306651,True,True,main_text_secondary,"This demographic dimension passes the frozen cross-case support, magnitude, and sensitivity rule.",Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__race_color__race_black_combined__real_admission_wage,health_care_aides,race_color,race_black_combined,real_admission_wage,-28.10836745,adequate,6,-35.37987419,-35.34927132,-7.271506743,-7.240903872,4.530380506,4.530380506,22,12.57834738,0.2008682027,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__race_color__race_white__admissions,health_care_aides,race_color,race_white,admissions,91.62179487,adequate,6,78.26558847,80.24747787,-13.3562064,-11.374317,,,22,4.767793207,0.1661129389,True,True,main_text_secondary,"This demographic dimension passes the frozen cross-case support, magnitude, and sensitivity rule.",Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__race_color__race_white__real_admission_wage,health_care_aides,race_color,race_white,real_admission_wage,-41.2801188,adequate,6,-46.81818371,-39.47562599,-5.538064905,1.804492813,-1.480981937,-1.480981937,22,31.79739582,0.3100057926,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__sex__men__admissions,health_care_aides,sex,men,admissions,25.91354724,adequate,6,16.97613281,19.201527,-8.937414425,-6.712020236,,,22,12.17957208,0.1347117809,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__sex__men__real_admission_wage,health_care_aides,sex,men,real_admission_wage,2.711684936,adequate,6,-7.781333347,-6.949268586,-10.49301828,-9.660953522,5.618769611,5.618769611,22,-0.4387243747,0.08990239342,True,False,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__sex__women__admissions,health_care_aides,sex,women,admissions,50.56061861,adequate,6,52.94540109,60.64746595,2.384782476,10.08684734,,,22,21.64952439,0.2075290079,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
health_care_aides__sex__women__real_admission_wage,health_care_aides,sex,women,real_admission_wage,-30.65484749,adequate,6,-37.65024856,-34.83381827,-6.995401073,-4.178970782,1.666976472,1.666976472,22,18.71842891,0.2098249664,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__age__age_22_25__admissions,marketing_sales_managers,age,age_22_25,admissions,-0.5873715125,adequate,6,-17.09527308,-17.36757152,-16.50790157,-16.78020001,,,22,3.876141461,0.1139929149,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__age__age_22_25__real_admission_wage,marketing_sales_managers,age,age_22_25,real_admission_wage,-6.64174719,adequate,6,-10.33288664,-10.38356277,-3.691139454,-3.741815577,-26.00643422,-26.00643422,22,2.947199618,0.07666327733,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__age__age_26_30__admissions,marketing_sales_managers,age,age_26_30,admissions,-1.663527935,adequate,6,-10.69494328,-11.58900979,-9.031415341,-9.925481853,,,22,7.936401884,0.08845298331,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__age__age_26_30__real_admission_wage,marketing_sales_managers,age,age_26_30,real_admission_wage,-10.34582131,adequate,6,-17.09777811,-16.89973461,-6.751956802,-6.553913302,3.297041269,3.297041269,22,-3.462714403,0.06692866512,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__age__age_31_34__admissions,marketing_sales_managers,age,age_31_34,admissions,-1.711156742,adequate,6,-14.85829479,-16.71849294,-13.14713805,-15.0073362,,,22,6.654857115,0.09507122593,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__age__age_31_34__real_admission_wage,marketing_sales_managers,age,age_31_34,real_admission_wage,-1.255688696,adequate,6,-9.589521199,-11.53985671,-8.333832504,-10.28416801,5.485054886,5.485054886,22,-5.013552825,0.06369178239,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__age__age_35_40__admissions,marketing_sales_managers,age,age_35_40,admissions,3.369516056,adequate,6,-4.328351961,-5.910913781,-7.697868017,-9.280429837,,,22,8.861745647,0.09230721942,True,False,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__age__age_35_40__real_admission_wage,marketing_sales_managers,age,age_35_40,real_admission_wage,-1.003593573,adequate,6,-4.873172961,-5.591610518,-3.869579388,-4.588016945,0.02315134936,0.02315134936,22,-2.069877639,0.04205765505,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__age__age_41_49__admissions,marketing_sales_managers,age,age_41_49,admissions,15.97222222,adequate,6,11.89279732,11.87594313,-4.079424902,-4.09627909,,,22,11.64653575,0.1043170305,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__age__age_41_49__real_admission_wage,marketing_sales_managers,age,age_41_49,real_admission_wage,-3.041733418,adequate,6,-3.448381765,-5.685847981,-0.4066483467,-2.644114563,-1.787521374,-1.787521374,22,-5.283205653,0.07613243183,True,True,main_text_context,The wage direction is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__age__age_50_plus__admissions,marketing_sales_managers,age,age_50_plus,admissions,40.04065041,adequate,6,24.77363274,26.26040246,-15.26701766,-13.78024795,,,22,13.48220771,0.1312489154,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__age__age_50_plus__real_admission_wage,marketing_sales_managers,age,age_50_plus,real_admission_wage,3.724281914,adequate,6,0.7006267563,-0.3780996932,-3.023655158,-4.102381608,3.103690979,3.103690979,22,-2.637909905,0.07069130021,True,False,main_figure_only,"The wage path is shown, but its terminal direction changes under at least one time baseline.",Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__education__education_other__admissions,marketing_sales_managers,education,education_other,admissions,11.78138696,adequate,6,7.836554005,9.39917354,-3.94483295,-2.382213416,,,22,13.95976902,0.1072364673,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__education__education_other__real_admission_wage,marketing_sales_managers,education,education_other,real_admission_wage,10.67056381,adequate,6,6.2155863,5.300913857,-4.454977511,-5.369649954,-1.211080182,-1.211080182,22,-1.84404228,0.0319705746,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__education__higher_education__admissions,marketing_sales_managers,education,higher_education,admissions,5.226824458,adequate,6,-8.831470659,-11.37294303,-14.05829512,-16.59976749,,,22,5.476563228,0.09460802367,True,False,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__education__higher_education__real_admission_wage,marketing_sales_managers,education,higher_education,real_admission_wage,-2.792680018,adequate,6,-2.484316891,-2.525132969,0.3083631268,0.2675470493,-0.007468471027,-0.007468471027,22,-1.196445507,0.02917418422,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__overall__all__admissions,marketing_sales_managers,overall,all,admissions,8.067940552,adequate,6,-2.043007485,-3.200247547,-10.11094804,-11.2681881,,,22,8.717161215,0.08870598847,True,False,appendix_only,The case-level summary changes direction under at least one time baseline.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__overall__all__real_admission_wage,marketing_sales_managers,overall,all,real_admission_wage,-1.999262823,adequate,6,-5.137062101,-6.429255123,-3.137799278,-4.4299923,-0.07402203301,-0.07402203301,22,-3.123598404,0.0473785675,True,True,main_text_context,The case-level summary is stable under both alternative time baselines.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__race_color__race_black_combined__admissions,marketing_sales_managers,race_color,race_black_combined,admissions,64.64237517,adequate,6,51.70355633,50.15243889,-12.93881884,-14.48993628,,,22,8.154604607,0.09544517208,True,True,main_text_secondary,"This demographic dimension passes the frozen cross-case support, magnitude, and sensitivity rule.",Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__race_color__race_black_combined__real_admission_wage,marketing_sales_managers,race_color,race_black_combined,real_admission_wage,-9.933552356,adequate,6,-8.070991812,-8.720629955,1.862560544,1.212922401,3.418475228,3.418475228,22,-0.6111075253,0.05995814709,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__race_color__race_white__admissions,marketing_sales_managers,race_color,race_white,admissions,36.70871292,adequate,6,18.685486,16.53072188,-18.02322692,-20.17799104,,,22,2.819821487,0.08338278896,True,True,main_text_secondary,"This demographic dimension passes the frozen cross-case support, magnitude, and sensitivity rule.",Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__race_color__race_white__real_admission_wage,marketing_sales_managers,race_color,race_white,real_admission_wage,-6.020938576,adequate,6,-8.583881228,-10.2325319,-2.562942652,-4.211593319,0.05922082785,0.05922082785,22,-1.680847188,0.04638396868,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__sex__men__admissions,marketing_sales_managers,sex,men,admissions,7.527920962,adequate,6,-2.367440863,-3.800436887,-9.895361825,-11.32835785,,,22,4.776342185,0.08338704794,True,False,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__sex__men__real_admission_wage,marketing_sales_managers,sex,men,real_admission_wage,1.096982576,adequate,6,-3.710200077,-4.853033174,-4.807182653,-5.95001575,1.698512309,1.698512309,22,-1.372111165,0.04524889905,True,False,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__sex__women__admissions,marketing_sales_managers,sex,women,admissions,8.653622176,adequate,6,-1.692379025,-2.540912586,-10.3460012,-11.19453476,,,22,13.36737257,0.1056132351,True,False,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
marketing_sales_managers__sex__women__real_admission_wage,marketing_sales_managers,sex,women,real_admission_wage,-5.901597155,adequate,6,-7.037157571,-8.427584587,-1.135560417,-2.525987432,-2.358010658,-2.358010658,22,-4.60310896,0.05677441163,True,True,appendix_only,The demographic dimension does not pass the frozen cross-case mention rule.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
production_supervisors__age__age_22_25__admissions,production_supervisors,age,age_22_25,admissions,8.195211786,adequate,6,-2.1322672,-0.2967889056,-10.32747899,-8.492000692,,,22,1.493308734,0.1325710581,True,False,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
production_supervisors__age__age_22_25__real_admission_wage,production_supervisors,age,age_22_25,real_admission_wage,-6.524498132,adequate,6,5.694176672,8.793306208,12.2186748,15.31780434,-81.29023446,-46.73254123,22,-0.9942159671,0.06226919471,True,False,main_figure_only,"The wage path is shown, but its terminal direction changes under at least one time baseline.",Frozen terminal metric and pre-specified robustness rules; no significance filtering.
production_supervisors__age__age_26_30__admissions,production_supervisors,age,age_26_30,admissions,25.28379773,adequate,6,9.606356085,10.12691641,-15.67744164,-15.15688132,,,22,2.527572077,0.1279464487,True,True,main_text_headline,Age-specific admissions are the pre-specified central comparison; all six cases remain visible.,Frozen terminal metric and pre-specified robustness rules; no significance filtering.
