case_order,case_id,case_label_pt,cbo_6d,cbo_title,primary_included,variant_membership,mapping_confidence,semantic_rationale,source_name,source_url,retrieved_on
3,marketing_sales_managers,Gerentes de marketing e vendas,142315,Gerente de marketing,True,primary,high,"Management of marketing strategy, sales targets, campaigns, budgets, and teams.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
3,marketing_sales_managers,Gerentes de marketing e vendas,142320,Gerente de vendas,True,primary,high,"Management of marketing strategy, sales targets, campaigns, budgets, and teams.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720105,Mestre (afiador de ferramentas),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720110,Mestre de caldeiraria,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720115,Mestre de ferramentaria,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720120,Mestre de forjaria,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720125,Mestre de fundição,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720130,Mestre de galvanoplastia,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720135,Mestre de pintura (tratamento de superfícies),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720140,Mestre de soldagem,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720145,Mestre de trefilação de metais,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720150,Mestre de usinagem,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720155,Mestre serralheiro,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720160,Supervisor de controle de tratamento térmico,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720205,Mestre (construção naval),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720210,Mestre (indústria de automotores e material de transportes),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720215,Mestre (indústria de máquinas e outros equipamentos mecânicos),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,720220,Mestre de construção de fornos,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,730105,Supervisor de montagem e instalação eletroeletrônica,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,740105,Supervisor da mecânica de precisão,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,740110,Supervisor de fabricação de instrumentos musicais,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,750105,Supervisor de joalheria,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,750205,Supervisor da indústria de minerais não metálicos (exceto os derivados de petróleo e carvão),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,760105,Contramestre de acabamento (indústria têxtil),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,760110,Contramestre de fiação (indústria têxtil),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,760115,Contramestre de malharia (indústria têxtil),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,760120,Contramestre de tecelagem (indústria têxtil),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,760125,Mestre (indústria têxtil e de confecções),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,760205,Supervisor de curtimento,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,760305,Encarregado de corte na confecção do vestuário,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,760310,Encarregado de costura na confecção do vestuário,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,760405,Supervisor  (indústria de calçados e artefatos de couro),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,760505,"Supervisor da confecção de artefatos de tecidos, couros e afins",True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,760605,Supervisor das artes gráficas  (indústria editorial e gráfica),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,770105,Mestre (indústria de madeira e mobiliário),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,770110,Mestre carpinteiro,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,780105,Supervisor de embalagem e etiquetagem,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,810105,Mestre (indústria petroquímica e carboquímica),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,810110,Mestre de produção química,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,810205,Mestre (indústria de borracha e plástico),True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,810305,Mestre de produção farmacêutica,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,820105,Mestre de siderurgia,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,820110,Mestre de aciaria,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,820115,Mestre de alto-forno,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,820120,Mestre de forno elétrico,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,820125,Mestre de laminação,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,820205,"Supervisor de fabricação de produtos cerâmicos, porcelanatos e afins",True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,820210,Supervisor de fabricação de produtos de vidro,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,830105,"Mestre (indústria de celulose, papel e papelão)",True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,840105,Supervisor de produção da indústria alimentícia,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,840110,Supervisor da indústria de bebidas,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,840115,Supervisor da indústria de fumo,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,840120,Chefe de confeitaria,True,primary;supervisor_industry,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,860110,"Supervisor de operação de fluidos (distribuição, captação, tratamento de água, gases, vapor)",True,primary,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
4,production_supervisors,Supervisores de produção,860115,"Supervisor de operação elétrica (geração, transmissão e distribuição de energia elétrica)",True,primary,medium,"First-line direction of production workers, workflow, quality, safety, and training.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
5,stock_clerks,Estoquistas e repositores,414105,Almoxarife,True,primary;stock_extended,high,"Receiving, storing, controlling, dispatching, and replenishing goods.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
5,stock_clerks,Estoquistas e repositores,414110,Armazenista,True,primary;stock_extended,high,"Receiving, storing, controlling, dispatching, and replenishing goods.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
5,stock_clerks,Estoquistas e repositores,414125,Estoquista,True,primary;stock_extended,high,"Receiving, storing, controlling, dispatching, and replenishing goods.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
5,stock_clerks,Estoquistas e repositores,414135,Expedidor de mercadorias,True,primary;stock_extended,high,"Receiving, storing, controlling, dispatching, and replenishing goods.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
5,stock_clerks,Estoquistas e repositores,521125,Repositor de mercadorias,True,primary;stock_extended,high,"Receiving, storing, controlling, dispatching, and replenishing goods.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
5,stock_clerks,Estoquistas e repositores,414115,Balanceiro,False,excluded,low,Weighing work is not sufficiently representative of stock clerks or order fillers.,MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
5,stock_clerks,Estoquistas e repositores,414120,Conferente mercadoria (exceto carga e descarga),False,stock_extended,high,Goods checking is adjacent to stock handling; included only in the expanded stock sensitivity.,MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
5,stock_clerks,Estoquistas e repositores,414140,Auxiliar de logistica,False,stock_extended,high,Logistics assistance is broader than stock work; included only in the expanded stock sensitivity.,MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
6,health_care_aides,Auxiliares de saúde e cuidado,322220,Técnico de enfermagem psiquiátrica,True,primary,medium,"Direct nursing, health assistance, elder care, and personal health support.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
6,health_care_aides,Auxiliares de saúde e cuidado,322230,Auxiliar de enfermagem,True,primary,medium,"Direct nursing, health assistance, elder care, and personal health support.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
6,health_care_aides,Auxiliares de saúde e cuidado,322235,Auxiliar de enfermagem do trabalho,True,primary,medium,"Direct nursing, health assistance, elder care, and personal health support.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
6,health_care_aides,Auxiliares de saúde e cuidado,322250,Auxiliar de enfermagem da estratégia de saúde da família,True,primary,medium,"Direct nursing, health assistance, elder care, and personal health support.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
6,health_care_aides,Auxiliares de saúde e cuidado,515110,Atendente de enfermagem,True,primary;health_restricted,medium,"Direct nursing, health assistance, elder care, and personal health support.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
6,health_care_aides,Auxiliares de saúde e cuidado,516210,Cuidador de idosos,True,primary;health_restricted,medium,"Direct nursing, health assistance, elder care, and personal health support.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
6,health_care_aides,Auxiliares de saúde e cuidado,516220,Cuidador em saúde,True,primary;health_restricted,medium,"Direct nursing, health assistance, elder care, and personal health support.",MTE CBO 2002 official occupation download,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/cbo/servicos/downloads/downloads,2026-07-24
