artifact_id,caption,component,producer,input_contract,reference_path,command
figure_5_2_2_2,Figure 5.2.2.2: Real admission wage by race or color,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_2_2_race_wage.png,python run_replication.py --target caged --mode reproduce
table_5_2_3,Table 5.2.3: Results by age group,caged,code.render.phase8b_tables,caged_family_a,caged/tables/table_5_2_3_age.csv,python run_replication.py --target caged --mode reproduce
figure_5_2_3_1,Figure 5.2.3.1: Admissions by age group,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_3_1_age_admissions.png,python run_replication.py --target caged --mode reproduce
figure_5_2_3_2,Figure 5.2.3.2: Real admission wage by age group,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_3_2_age_wage.png,python run_replication.py --target caged --mode reproduce
figure_5_2_3_3,Figure 5.2.3.3: Real admission wage for ages 22 to 25,caged,code.render.canaries_wage_figure,caged_canaries_event_study,caged/figures/figure_5_2_3_3_canaries_22_25_wage.png,python run_replication.py --target caged --mode reproduce
table_5_2_4,Table 5.2.4: Results by education,caged,code.render.phase8b_tables,caged_family_a,caged/tables/table_5_2_4_education.csv,python run_replication.py --target caged --mode reproduce
figure_5_2_4_1,Figure 5.2.4.1: Admissions by education,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_4_1_education_admissions.png,python run_replication.py --target caged --mode reproduce
figure_5_2_4_2,Figure 5.2.4.2: Real admission wage by education,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_4_2_education_wage.png,python run_replication.py --target caged --mode reproduce
table_5_2_5,Table 5.2.5: Results by pre-treatment occupational wage,caged,code.render.phase8b_tables,caged_family_a,caged/tables/table_5_2_5_income.csv,python run_replication.py --target caged --mode reproduce
figure_5_2_5_1,Figure 5.2.5.1: Admissions by pre-treatment income,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_5_1_income_admissions.png,python run_replication.py --target caged --mode reproduce
figure_5_2_5_2,Figure 5.2.5.2: Real admission wage by pre-treatment income,caged,code.render.phase8b_figures,caged_group_event_studies,caged/figures/figure_5_2_5_2_income_wage.png,python run_replication.py --target caged --mode reproduce
figure_5_2_6,Figure 5.2.6: Within-group DiD estimates by outcome,caged,code.render.phase8b_figures,caged_family_c_130_single_bh,caged/figures/figure_5_2_6_group_outcome_forest.png,python run_replication.py --target caged --mode reproduce
table_c_1,Table C.1: Occupational case selection and exposure composition,caged,code.render.phase8b_tables,caged_occupation_cases,caged/tables/table_c_1_occupation_cases.csv,python run_replication.py --target caged --mode reproduce
figure_c_1,Figure C.1: Monthly admissions by occupational case and age,caged,code.render.phase8b_figures,caged_occupation_cases,caged/figures/figure_c_1_occupation_cases_admissions_by_age.png,python run_replication.py --target caged --mode reproduce
figure_c_2,Figure C.2: Monthly real admission wage by occupational case and age,caged,code.render.phase8b_figures,caged_occupation_cases,caged/figures/figure_c_2_occupation_cases_wage_by_age.png,python run_replication.py --target caged --mode reproduce
table_a_1,Table A.1: National-result diagnostics,caged,code.render.phase8b_tables,caged_pretrend_contracts,caged/tables/table_a_1_national_diagnostics.csv,python run_replication.py --target caged --mode reproduce
table_a_2,Table A.2: DDD contrasts by sex,caged,code.render.phase8b_tables,caged_families_a_b_c,caged/tables/table_a_2_sex.csv,python run_replication.py --target caged --mode reproduce
table_a_3,Table A.3: DDD contrasts by race or color,caged,code.render.phase8b_tables,caged_families_a_b_c,caged/tables/table_a_3_race.csv,python run_replication.py --target caged --mode reproduce
table_a_4,Table A.4: DDD contrasts by age,caged,code.render.phase8b_tables,caged_families_a_b_c,caged/tables/table_a_4_age.csv,python run_replication.py --target caged --mode reproduce
table_a_5,Table A.5: DDD contrasts by education,caged,code.render.phase8b_tables,caged_families_a_b_c,caged/tables/table_a_5_education.csv,python run_replication.py --target caged --mode reproduce
table_a_6,Table A.6: DDD contrasts by pre-treatment occupational wage,caged,code.render.phase8b_tables,caged_families_a_b_c,caged/tables/table_a_6_income.csv,python run_replication.py --target caged --mode reproduce
table_d_1,Table D.1: Formal stock turnover and job tenure (Family D),rais,code.render.complementary,rais_family_d,rais/tables/table_d_1_rais.csv,python run_replication.py --target rais --mode reproduce
table_b_1,Table B.1: Exact-model pretrends for RAIS,rais,code.render.complementary,rais_family_d,rais/tables/table_b_1_rais_pretrends.csv,python run_replication.py --target rais --mode reproduce
table_d_2,Table D.2: Occupational composition and stock (Family E),pnadc,code.render.complementary,pnadc_family_e,pnadc/tables/table_d_2_pnadc.csv,python run_replication.py --target pnadc --mode reproduce
table_b_2,Table B.2: Exact-model pretrends for PNADc,pnadc,code.render.complementary,pnadc_family_e,pnadc/tables/table_b_2_pnadc_pretrends.csv,python run_replication.py --target pnadc --mode reproduce
table_b_3,Table B.3: December 2021 temporal placebo,spatial,code.render.complementary,spatial_support_gate,spatial/tables/table_b_3_spatial_placebo.csv,python run_replication.py --target spatial --mode reproduce
table_b_4,Table B.4: Effective clusters by digital-intensity proxy,spatial,code.render.complementary,spatial_support_gate,spatial/tables/table_b_4_spatial_support.csv,python run_replication.py --target spatial --mode reproduce
