row_id	claim_id	occurrence_id	citation_key	prior_row_id	prior_claim_id	prior_occurrence_id	reconciliation_status	matching_basis	current_source_sha256	prior_source_sha256	claim_text_sha256
ROW-CUR-0011	CLM-CUR-008	CIT-CUR-004	hosseini_maasoum_generative_2025				AUDITED_NEW	NONE	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7		d4d294780cab70a16bafa00022cef9538f9629ee87736374fcc60d21f76b5877
ROW-CUR-0012	CLM-CUR-008	CIT-CUR-005	klein_teeselink_generative_2025				AUDITED_NEW	NONE	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09		c364ea3c367973f1099c1939cc9b0cc3f1c017b04ef48de15db6cd6c743bda06
ROW-CUR-0013	CLM-CUR-009	CIT-CUR-003	brynjolfsson_canaries_2025				AUDITED_NEW	NONE	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188		b90596814d7906c8aee22e75f967d0f38e1f968d73f0fafac69de8ca83e88e60
ROW-CUR-0014	CLM-CUR-009	CIT-CUR-004	hosseini_maasoum_generative_2025				AUDITED_NEW	NONE	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7		cab549428abc2bb3536adfd22d29f000b7a57c240b4a9c5b841021109dc5c80e
ROW-CUR-0015	CLM-CUR-009	CIT-CUR-005	klein_teeselink_generative_2025				AUDITED_NEW	NONE	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09		3e57ddb910f89b8fa1ea31a8fe902f52d3084f993d4b256e14f989228670e3d8
ROW-CUR-0016	CLM-CUR-010	CIT-CUR-003	brynjolfsson_canaries_2025				AUDITED_NEW	NONE	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188		54771f3fc6557ac838c65ac5c2acd198101c53a4d09fe8d2b415e8c0c5c3387c
ROW-CUR-0017	CLM-CUR-010	CIT-CUR-004	hosseini_maasoum_generative_2025				AUDITED_NEW	NONE	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7		4154d5b69fd6108128b8652f107611b2b60bb5a67aafff0a77d47a341611725d
ROW-CUR-0018	CLM-CUR-010	CIT-CUR-005	klein_teeselink_generative_2025				AUDITED_NEW	NONE	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09		b49466d9ef152acde3c472488e644bb04ac530ed0f4894bbe5ab54ed517c9a1f
ROW-CUR-0019	CLM-CUR-011	CIT-CUR-003	brynjolfsson_canaries_2025	ROW-0022	CLM-012	CIT-003	REAUDITED_TEXT_AND_SOURCE_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188	75012cdca09a734e64e6dd75e635551286549343dd7549252284dea9dc454a7d	c01e93291ec444d3cc8bc0cf25c817565d6f11157c6cd9b42782b7bb3a9afaec
ROW-CUR-0020	CLM-CUR-011	CIT-CUR-004	hosseini_maasoum_generative_2025	ROW-0023	CLM-012	CIT-004	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7	31acdd45ede51eed44b58cf43c555c9f318cc8b0c3889d177efac291490286e7	4e8cf40fe2ed8e47b0b5abdc5d4a0736ac22a326f4aaafd12d17887b7eb8da75
ROW-CUR-0021	CLM-CUR-011	CIT-CUR-005	klein_teeselink_generative_2025	ROW-0024	CLM-012	CIT-005	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09	869c82402a2aa0636723ff72109b970bc2e6579c08ea43240207054818c93d09	419d28b625d635e48d7128d723c539f9977b303254f12a9f13fcec10ca08f973
ROW-CUR-0022	CLM-CUR-012	CIT-CUR-006	gmyrek_generative_2025	ROW-0025	CLM-013	CIT-006	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	7b1b9300e685a031566ce5753cc0b07b977365b9a5c7f2fb27bb6fd2158478f3
ROW-CUR-0023	CLM-CUR-013	CIT-CUR-006	gmyrek_generative_2025	ROW-0026	CLM-014	CIT-006	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	4f10457f4ce675b43c0fd82d9fc4214adaefabafd970072bc78b671c43c1f032
ROW-CUR-0024	CLM-CUR-014	CIT-CUR-006	gmyrek_generative_2025	ROW-0028	CLM-016	CIT-006	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	63ac9a2d961b825f5f8414b9d900015ab67a163f870cc2fbc4b58cdf412e6673
ROW-CUR-0025	CLM-CUR-015	CIT-CUR-006	gmyrek_generative_2025	ROW-0029	CLM-017	CIT-006	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	80ac3ef5d954c08f9d933cd2d9941a60105a532754278203b7ba0f362ce36e2b
ROW-CUR-0026	CLM-CUR-016	CIT-CUR-007	brynjolfsson_canaries_2025	ROW-0030	CLM-018	CIT-007	REAUDITED_TEXT_AND_SOURCE_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188	75012cdca09a734e64e6dd75e635551286549343dd7549252284dea9dc454a7d	659125a9ec3f0ac8b0c4ea74338eca29dbdb3156e9fe3e102c1eb8d837449f73
ROW-CUR-0027	CLM-CUR-017	CIT-CUR-007	brynjolfsson_canaries_2025				AUDITED_NEW	NONE	3b342bf604ed5c8fad8a232c9879345bcb7b71583f33d2acead28d531467a188		bef736d490e61fadd7ddd5c2f977adcca683110d9a0850a1c70438ddc4272eeb
ROW-CUR-0028	CLM-CUR-018	CIT-CUR-008	autor_skill_2003	ROW-0032	CLM-020	CIT-008	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	f4f159ef84aecd49767b43ac2dad9871929e94283587be868b7d04d54d1c2488	f4f159ef84aecd49767b43ac2dad9871929e94283587be868b7d04d54d1c2488	d12e06ecb3920920d9e1d88d93a474431292e4a8fb412cf9e311a7aadda217db
ROW-CUR-0029	CLM-CUR-019	CIT-CUR-008	autor_skill_2003	ROW-0033	CLM-021	CIT-008	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	f4f159ef84aecd49767b43ac2dad9871929e94283587be868b7d04d54d1c2488	f4f159ef84aecd49767b43ac2dad9871929e94283587be868b7d04d54d1c2488	d2dac03e2da0196500b0afc8e53e078e2792bda18bd9151bc0a2836798618e17
ROW-CUR-0030	CLM-CUR-020	CIT-CUR-008	autor_skill_2003	ROW-0034	CLM-022	CIT-008	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	f4f159ef84aecd49767b43ac2dad9871929e94283587be868b7d04d54d1c2488	f4f159ef84aecd49767b43ac2dad9871929e94283587be868b7d04d54d1c2488	388b127529960d404f9d3dbd0637a952a681f3640ccbfb3d481a1f1200ba076a
ROW-CUR-0031	CLM-CUR-021	CIT-CUR-009	agarwal_combining_2023	ROW-0035	CLM-023	CIT-009	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	7e3c307db768df2d4e4d1b31247229e75fb3e819015ff3d7344539edd7600e74	7e3c307db768df2d4e4d1b31247229e75fb3e819015ff3d7344539edd7600e74	7f42f82899fb1044c739a2f85599cc3aa3d05eeea99f57406c0c8945667a6c0f
ROW-CUR-0032	CLM-CUR-022	CIT-CUR-009	agarwal_combining_2023	ROW-0036	CLM-024	CIT-009	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	7e3c307db768df2d4e4d1b31247229e75fb3e819015ff3d7344539edd7600e74	7e3c307db768df2d4e4d1b31247229e75fb3e819015ff3d7344539edd7600e74	f8633636b50f85fc28912df0a086d57724aeaf2ef9b7b8dd881c017d1d258dd9
ROW-CUR-0033	CLM-CUR-023	CIT-CUR-009	agarwal_combining_2023	ROW-0037	CLM-025	CIT-009	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	7e3c307db768df2d4e4d1b31247229e75fb3e819015ff3d7344539edd7600e74	7e3c307db768df2d4e4d1b31247229e75fb3e819015ff3d7344539edd7600e74	dc6a01d84ef57f3f6951fdd205d40acc736fe4018b58cfee6fafc9969611d49f
ROW-CUR-0034	CLM-CUR-024	CIT-CUR-010	eloundou_gpts_2023	ROW-0038	CLM-026	CIT-010	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	20c4d07e9909440d89e2373f64429eb8e0987e57360651656c2e281147ac7d46
ROW-CUR-0035	CLM-CUR-025	CIT-CUR-010	eloundou_gpts_2023	ROW-0039	CLM-027	CIT-010	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	25258d05b76e1294bd384f723d83a50c196570b7cc2dd977b696c1dd063b6e0d
ROW-CUR-0036	CLM-CUR-026	CIT-CUR-010	eloundou_gpts_2023	ROW-0040	CLM-028	CIT-010	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	7195702b8ad45b064b2117d3e7af185d5718e8ae6db3065ae7f7d90811597506
ROW-CUR-0037	CLM-CUR-027	CIT-CUR-010	eloundou_gpts_2023	ROW-0041	CLM-029	CIT-010	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	4accc617f39513b0722cbef868fa74499c6889fc662cb8b0fc2adf6ac5575c8c
ROW-CUR-0038	CLM-CUR-028	CIT-CUR-010	eloundou_gpts_2023	ROW-0042	CLM-030	CIT-010	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	f9af0b438b7f62703a9f49acf94986c513331bc333080f143348dde7a2396e3f
ROW-CUR-0039	CLM-CUR-029	CIT-CUR-010	eloundou_gpts_2023				AUDITED_NEW	NONE	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632		914e5b74a560ec0b9a73e8b32b6755905e2d397bca45afd8c1d7d513ffe2e114
ROW-CUR-0040	CLM-CUR-030	CIT-CUR-010	eloundou_gpts_2023				AUDITED_NEW	NONE	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632		742ed60c4f0afb0d87f259e9d57f87c3883e62aedfc704826440374864a458d3
ROW-CUR-0041	CLM-CUR-031	CIT-CUR-010	eloundou_gpts_2023	ROW-0044	CLM-032	CIT-010	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632	bb810da356c9251493620efc0a598de9930ea63f1ca09ae77f6dd20fcd141f4d
ROW-CUR-0042	CLM-CUR-032	CIT-CUR-010	eloundou_gpts_2023				AUDITED_NEW	NONE	af3edd4efc120c70f0e2e6dc7a4e314a41f1b9eb5a7e88bc25533db631f79632		67073cb655dadeca24b2417722cc387eac747778525d87b574607623df7aa125
ROW-CUR-0043	CLM-CUR-033	CIT-CUR-011	benitez_mirror_2024	ROW-0046	CLM-034	CIT-011	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	cbbe50ccdb4c2190547c16394f58c21027099f2641c2d1c06385edb4fdd359a0
ROW-CUR-0044	CLM-CUR-034	CIT-CUR-011	benitez_mirror_2024	ROW-0047	CLM-035	CIT-011	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	9e9baa70c21f35661b875116b638d99b6a00d7bd957059dae5afb85b54e73840
ROW-CUR-0045	CLM-CUR-035	CIT-CUR-011	benitez_mirror_2024	ROW-0048	CLM-036	CIT-011	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	1d5d7457492d18187c95eb6c3fdede81789b6e712658480e89788cd73271aa51
ROW-CUR-0046	CLM-CUR-036	CIT-CUR-011	benitez_mirror_2024	ROW-0049	CLM-037	CIT-011	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	29c09123be95ad73fd10c3efa4a53f39545308f8f4e69225e81485657800c3be
ROW-CUR-0047	CLM-CUR-037	CIT-CUR-011	benitez_mirror_2024	ROW-0050	CLM-038	CIT-011	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	975b399a43b5bafac216e5bab8db083e526049f448706d8a23a189f458ec6a7f
ROW-CUR-0048	CLM-CUR-038	CIT-CUR-011	benitez_mirror_2024	ROW-0051	CLM-039	CIT-011	REUSED_EXACT	EXACT_CLAIM_AND_EXCERPT	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	e5179c64ac48b445e85edbbebb15e092881013c5aac635519110c97946eb2050
ROW-CUR-0049	CLM-CUR-039	CIT-CUR-011	benitez_mirror_2024	ROW-0052	CLM-040	CIT-011	REUSED_EXACT	EXACT_CLAIM_AND_EXCERPT	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	8847920fa160282c8ba5b5f456f35b24669a7e19dd8a655e2a801b265efb5fda	9e49b90d1c2ba72b75bda66552c3398b7a13456b7d229121e4a55ac5d6b567d5
ROW-CUR-0050	CLM-CUR-040	CIT-CUR-012	appel_anthropic_2026	ROW-0053	CLM-041	CIT-012	REUSED_EXACT	EXACT_CLAIM_AND_EXCERPT	456274578d26ae653c43eabf560dd8b9018130f2a6ac10a921689a57d7c76d9a	456274578d26ae653c43eabf560dd8b9018130f2a6ac10a921689a57d7c76d9a	7cd00393640e9686c5784e69c465302d536741f83a4d7cf3bad3621ee710dbd2
ROW-CUR-0051	CLM-CUR-041	CIT-CUR-012	appel_anthropic_2026	ROW-0054	CLM-042	CIT-012	REUSED_EXACT	EXACT_CLAIM_AND_EXCERPT	456274578d26ae653c43eabf560dd8b9018130f2a6ac10a921689a57d7c76d9a	456274578d26ae653c43eabf560dd8b9018130f2a6ac10a921689a57d7c76d9a	4c8a11b4c7a5ab372881d1e6ae1d6fe02ae3d08fc5bcb93508d4efa475a8df63
ROW-CUR-0052	CLM-CUR-042	CIT-CUR-012	appel_anthropic_2026	ROW-0055	CLM-043	CIT-012	REUSED_EXACT	EXACT_CLAIM_AND_EXCERPT	456274578d26ae653c43eabf560dd8b9018130f2a6ac10a921689a57d7c76d9a	456274578d26ae653c43eabf560dd8b9018130f2a6ac10a921689a57d7c76d9a	8461c29263953117186f62228376b1f6b7ee9c8ce93418035324b64978adcf53
ROW-CUR-0053	CLM-CUR-043	CIT-CUR-012	appel_anthropic_2026	ROW-0056	CLM-044	CIT-012	REUSED_EXACT	EXACT_CLAIM_AND_EXCERPT	456274578d26ae653c43eabf560dd8b9018130f2a6ac10a921689a57d7c76d9a	456274578d26ae653c43eabf560dd8b9018130f2a6ac10a921689a57d7c76d9a	94b2194309ec020ce87f3a3a50f0e17982161f90393c3a18a2e1c6ec88414d41
ROW-CUR-0054	CLM-CUR-044	CIT-CUR-013	gmyrek_generative_2025	ROW-0057	CLM-045	CIT-013	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	2404810c0ec55ef981c7d5a259c5664792c72683e78c2d59695d56824eabcf45
ROW-CUR-0055	CLM-CUR-045	CIT-CUR-013	gmyrek_generative_2025	ROW-0058	CLM-046	CIT-013	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	3ebe5be618eb309864a1e775196f079ba808ef0f6d344dbe71e125a4a27d7717
ROW-CUR-0056	CLM-CUR-046	CIT-CUR-013	gmyrek_generative_2025	ROW-0059	CLM-047	CIT-013	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	1aa01e7ab8993679ada23a081145009722f0a040d656c4849d60e81980c8c6d4
ROW-CUR-0057	CLM-CUR-047	CIT-CUR-013	gmyrek_generative_2025	ROW-0060	CLM-048	CIT-013	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	f43681e65b0d249b9242c897f0f7c570dea05d14121d0cf4f1cc8707593700bc
ROW-CUR-0058	CLM-CUR-048	CIT-CUR-013	gmyrek_generative_2025	ROW-0061	CLM-049	CIT-013	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	d8c7c473f91bdfaae39779a8bc0a933046dcdf1ef0bb69e33fa0b035eac2e3be
ROW-CUR-0059	CLM-CUR-049	CIT-CUR-013	gmyrek_generative_2025	ROW-0062	CLM-050	CIT-013	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	71050a557c7a875ff62b521590167bda6f96aaca8d70048292ab3ea3ad93d98f
ROW-CUR-0060	CLM-CUR-050	CIT-CUR-013	gmyrek_generative_2025	ROW-0063	CLM-051	CIT-013	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	aa4d153ea695fc7dd079d48cd6ce5af121d848635375b9c88d79b5e193b3fd2d
ROW-CUR-0061	CLM-CUR-051	CIT-CUR-013	gmyrek_generative_2025	ROW-0064	CLM-052	CIT-013	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	4931969af572ed402cb28565989aaf5ec945811b0b5ef29a5c0dad3a6649eca2
ROW-CUR-0062	CLM-CUR-052	CIT-CUR-013	gmyrek_generative_2025	ROW-0065	CLM-053	CIT-013	REAUDITED_TEXT_CHANGED	EXACT_CLAIM_TEXT_CHANGED_EXCERPT	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9	94bd1305499ae9d267005232e60a79e13f6dbb5b0b208e504ce50f044e7e7bf3
ROW-CUR-0063	CLM-CUR-053	CIT-CUR-013	gmyrek_generative_2025				AUDITED_NEW	NONE	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9		857ea4a2484bca6ba0d0265b9349ccf6b39571fdc0f87f9d6c58ae359d105017
ROW-CUR-0064	CLM-CUR-054	CIT-CUR-013	gmyrek_generative_2025				AUDITED_NEW	NONE	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9		a417944686a6a1a7b578e6b669bb7acff903eef14e8e6c0c57485052abb6421c
ROW-CUR-0065	CLM-CUR-055	CIT-CUR-013	gmyrek_generative_2025				AUDITED_NEW	NONE	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9		b9b9542f8909b76863f3e313edda29a3a28d90813f44bb8f3a0b267a3c8999d3
ROW-CUR-0066	CLM-CUR-056	CIT-CUR-014	gmyrek_generative_2025				AUDITED_NEW	NONE	9077761c72aabaa3c7ee70999ec5aa46a6afcf943b5fb01baa971f601d363ee9		68944f49fc11c2b310fa9c158b0ad3ced75759fd01ade7308063b97a534b1de9
