divisao,secao,divisao_descricao,secao_descricao
51,H,TRANSPORTE AÉREO,"TRANSPORTE, ARMAZENAGEM E CORREIO"
52,H,ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,"TRANSPORTE, ARMAZENAGEM E CORREIO"
53,H,CORREIO E OUTRAS ATIVIDADES DE ENTREGA,"TRANSPORTE, ARMAZENAGEM E CORREIO"
55,I,ALOJAMENTO,ALOJAMENTO E ALIMENTAÇÃO
56,I,ALIMENTAÇÃO,ALOJAMENTO E ALIMENTAÇÃO
58,J,EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO,INFORMAÇÃO E COMUNICAÇÃO
59,J,"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA",INFORMAÇÃO E COMUNICAÇÃO
60,J,ATIVIDADES DE RÁDIO E DE TELEVISÃO,INFORMAÇÃO E COMUNICAÇÃO
61,J,TELECOMUNICAÇÕES,INFORMAÇÃO E COMUNICAÇÃO
62,J,ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO,INFORMAÇÃO E COMUNICAÇÃO
63,J,ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO,INFORMAÇÃO E COMUNICAÇÃO
64,K,ATIVIDADES DE SERVIÇOS FINANCEIROS,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS"
65,K,"SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS"
66,K,"ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE","ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS"
68,L,ATIVIDADES IMOBILIÁRIAS,ATIVIDADES IMOBILIÁRIAS
69,M,"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
70,M,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
71,M,SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
72,M,PESQUISA E DESENVOLVIMENTO CIENTÍFICO,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
73,M,PUBLICIDADE E PESQUISA DE MERCADO,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
74,M,"OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
75,M,ATIVIDADES VETERINÁRIAS,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
77,N,ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
78,N,"SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
79,N,"AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
80,N,"ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
81,N,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
82,N,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS",ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
84,O,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
85,P,EDUCAÇÃO,EDUCAÇÃO
86,Q,ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,SAÚDE HUMANA E SERVIÇOS SOCIAIS
87,Q,"ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES",SAÚDE HUMANA E SERVIÇOS SOCIAIS
88,Q,SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO,SAÚDE HUMANA E SERVIÇOS SOCIAIS
90,R,"ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS","ARTES, CULTURA, ESPORTE E RECREAÇÃO"
91,R,ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL,"ARTES, CULTURA, ESPORTE E RECREAÇÃO"
92,R,ATIVIDADES DE EXPLORAÇÃO DE JOGOS DE AZAR E APOSTAS,"ARTES, CULTURA, ESPORTE E RECREAÇÃO"
93,R,ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER,"ARTES, CULTURA, ESPORTE E RECREAÇÃO"
94,S,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS,OUTRAS ATIVIDADES DE SERVIÇOS
95,S,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS,OUTRAS ATIVIDADES DE SERVIÇOS
96,S,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS,OUTRAS ATIVIDADES DE SERVIÇOS
97,T,SERVIÇOS DOMÉSTICOS,SERVIÇOS DOMÉSTICOS
99,U,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS
