occurrence_id	section	paragraph	citation_raw	citation_mode	citation_key	in_text_format_status	link_status	link_url	reference_presence_status	reference_format_status	locator	pdf_path	context	issue_and_action
CIT-011	2.3 Índices de exposição à IA na literatura	4	Benítez; Parrado, 2024	parenthetical	benitez_mirror_2024	OK	VÁLIDO	https://publications.iadb.org/en/mirror-mirror-wall-which-jobs-will-ai-replace-after-all-new-index-occupational-exposure	SIM	CORRIGIR		pdfs/benitez_mirror_2024.pdf	IA reduziria em pelo menos 50% o tempo de uma tarefa, mantendo a qualidade. O **GENOE** ([Benítez; Parrado, 2024](https://publications.iadb.org/en/mirror-mirror-wall-which-jobs-will-ai-replace-after-all-new-index-occupational-exposure)), do Banco Interamericano de Desenvolvimento, também se apoia na O\*NET, mas alterou o prompt fornecido	Apply bold only to the main title, not the subtitle; include IDB-WP-1624.
CIT-012	2.3 Índices de exposição à IA na literatura	5	(Appel *et al.*, 2026)	parenthetical	appel_anthropic_2026	OK	AUSENTE		SIM	CORRIGIR		pdfs/appel_anthropic_2026.pdf	o, mas o peso ético do papel do juiz reduz sua exposição. O **Anthropic Economic Index** (Appel *et al.*, 2026) parte de dados reais de uso dos modelos da Anthropic. Substitui a lógica binária por dimensões econômica	Apply bold only to “Anthropic Economic Index report”; leave the subtitle “Economic primitives” without bold. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-013	2.3 Índices de exposição à IA na literatura	6	(Gmyrek *et al.*, 2025)	parenthetical	gmyrek_generative_2025	OK	AUSENTE		SIM	CORRIGIR		pdfs/gmyrek_generative_2025.pdf	ário delega a decisão à máquina) e a *taxa de sucesso* da tarefa. O **ILO Global Index** (Gmyrek *et al.*, 2025), da OIT, é o único estruturado na **ISCO-08**, a classificação ocupacional internacional da ONU, complem	Apply bold only to the main title, not the subtitle; include ILO Working Paper no. 140. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-014	2.3 Índices de exposição à IA na literatura	6	(Eloundou *et al.*, 2023)	parenthetical	eloundou_gpts_2023	OK	AUSENTE		SIM	CORRIGIR		pdfs/eloundou_gpts_2023.pdf	itação para o Brasil** **Papel na dissertação** GPT Exposure (Eloundou *et al.*, 2023) O\*NET / SOC (EUA) LLM avaliando tarefa a tarefa, validado contra humanos; critério ca	Apply bold only to “GPTs are GPTs”; leave the subtitle without bold. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-015	2.3 Índices de exposição à IA na literatura	6	Benítez; Parrado, 2024	parenthetical	benitez_mirror_2024	OK	VÁLIDO	https://publications.iadb.org/en/mirror-mirror-wall-which-jobs-will-ai-replace-after-all-new-index-occupational-exposure	SIM	CORRIGIR		pdfs/benitez_mirror_2024.pdf	icana exige crosswalk adicional Referência conceitual GENOE ([Benítez; Parrado, 2024](https://publications.iadb.org/en/mirror-mirror-wall-which-jobs-will-ai-replace-after-all-new-index-occupational-exposure)) O\*NET / SOC (EUA) LLM com contexto completo da ocupação (avaliação holística) <	Apply bold only to the main title, not the subtitle; include IDB-WP-1624.
CIT-016	2.3 Índices de exposição à IA na literatura	6	(Appel *et al.*, 2026)	parenthetical	appel_anthropic_2026	OK	AUSENTE		SIM	CORRIGIR		pdfs/appel_anthropic_2026.pdf	ssionais; base americana Comparação Anthropic Economic Index (Appel *et al.*, 2026) Dados reais de uso e estruturação O\*NET / SOC (EUA) Uso efetivo dos modelos; dimensõe	Apply bold only to “Anthropic Economic Index report”; leave the subtitle “Economic primitives” without bold. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-017	2.3 Índices de exposição à IA na literatura	6	(Gmyrek *et al.*, 2025)	parenthetical	gmyrek_generative_2025	OK	AUSENTE		SIM	CORRIGIR		pdfs/gmyrek_generative_2025.pdf	los específicos); base americana Comparação ILO Global Index (Gmyrek *et al.*, 2025) ISCO-08 (internacional) Validação em três camadas (trabalhadores, especialistas e LLMs	Apply bold only to the main title, not the subtitle; include ILO Working Paper no. 140. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-018	2.4 Escolha do índice da OIT e adaptação às bases brasileiras	1	(Gmyrek *et al.*, 2025)	parenthetical	gmyrek_generative_2025	OK	AUSENTE		SIM	CORRIGIR		pdfs/gmyrek_generative_2025.pdf	ice da OIT e adaptação às bases brasileiras Esta dissertação adota o **ILO Global Index** (Gmyrek *et al.*, 2025) como medida principal de exposição ocupacional à inteligência artificial. A escolha se apoia em dois cri	Apply bold only to the main title, not the subtitle; include ILO Working Paper no. 140. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-019	3.1 Base analítica e amostra	1	(Gmyrek *et al.*, 2025)	parenthetical	gmyrek_generative_2025	OK	AUSENTE		SIM	CORRIGIR		pdfs/gmyrek_generative_2025.pdf	os da PNAD Contínua do 3º trimestre de 2025, produzida pelo IBGE, ao **ILO Global Index** (Gmyrek *et al.*, 2025). Optei pelo 3º trimestre de 2025 por ser o período mais recente com microdados completos disponíveis no	Apply bold only to the main title, not the subtitle; include ILO Working Paper no. 140. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-020	3.1 Base analítica e amostra	4	(Gmyrek *et al.*, 2025)	parenthetical	gmyrek_generative_2025	OK	AUSENTE		SIM	CORRIGIR		pdfs/gmyrek_generative_2025.pdf	e amostra** Fonte PNADc 3T/2025 (IBGE) + ILO WP140 (Gmyrek *et al.*, 2025) Universo População ocupada de 18 a 65 anos com código de ocupação válido</t	Apply bold only to the main title, not the subtitle; include ILO Working Paper no. 140. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-021	3.1 Base analítica e amostra	4	Brasil, 2024	parenthetical	brasil_decreto_12342_2024	OK	VÁLIDO	https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12342.htm	SIM	OK			s A a T) 19 Salário mínimo de referência R\$ 1.518 ([Brasil, 2024](https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12342.htm)) ## **3.2 Distribuição agregada da exposição à IA no Brasil** A exposição média pond	No correction identified in this step.
CIT-022	3.5.2 Análise por raça	2	Osorio (2003)	narrative	osorio_o_2003	OK	VÁLIDO	https://repositorio.ipea.gov.br/bitstreams/e09cc868-669f-4064-b396-693e22e0ce07/download	SIM	CORRIGIR		pdfs/osorio_o_2003.pdf	ra 0,257 entre trabalhadores negros, definidos pela agregação de pretos e pardos conforme [Osorio (2003)](https://repositorio.ipea.gov.br/bitstreams/e09cc868-669f-4064-b396-693e22e0ce07/download), uma diferença relativa de +19% sobre a média negra. Em alta exposição, 12,5% dos brancos (5,2 milhões)	Include Texto para Discussão no. 996.
CIT-023	3.5.3 Análise por faixa etária	2	Brynjolfsson, Chandar e Chen (2025)	narrative	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	osta sofreu efeitos diferenciados após o lançamento do ChatGPT, padrão já documentado por [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) nos Estados Unidos. ### **3.5.4 Análise por nível de escolaridade** O gradiente educacional é o mais for	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
CIT-024	4.1 Abordagem de diferenças em diferenças	1	Brynjolfsson, Chandar e Chen (2025)	narrative	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	em de diferenças em diferenças e de estudo de eventos aplicados à difusão da IA feita por [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/). Esse estudo acompanhou o mercado de trabalho americano a partir dos registros de folha de pagamento da	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
CIT-025	4.1 Abordagem de diferenças em diferenças	1	(Brynjolfsson, Chandar e Chen, 2025, p. 15)	parenthetical	brynjolfsson_canaries_2025	CORRIGIR	AUSENTE		SIM	CORRIGIR	p. 15	pdfs/brynjolfsson_canaries_2025.pdf	imam uma regressão de Poisson com efeitos fixos de firma por quintil e de firma por tempo (Brynjolfsson, Chandar e Chen, 2025, p. 15). Essa granularidade, combinada a esse desenho, permitiu detectar ajustes finos por ocupação e por idade	In a parenthetical citation, separate coauthors with semicolons: (Brynjolfsson; Chandar; Chen, 2025, p. 15). Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-026	4.1 Abordagem de diferenças em diferenças	5	Brynjolfsson, Chandar e Chen (2025)	narrative	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	sa escolha dialoga com a literatura recente e é o evento usado no estudo de referência de [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/). A literatura recente documentou que estimadores de diferenças em diferenças com efeitos fixos de duas v	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
CIT-027	4.1 Abordagem de diferenças em diferenças	6	(Goodman-Bacon, 2021; Callaway e Sant'Anna, 2021; Sun e Abraham, 2021; de Chaisemartin e D'Haultfœuille, 2020)	parenthetical	goodman_bacon_difference_2021	CORRIGIR	AUSENTE		NÃO	AUSENTE		pdfs/goodman_bacon_difference_2021.pdf	gativas e estimativas viesadas quando as unidades são tratadas em **momentos diferentes** (Goodman-Bacon, 2021; Callaway e Sant'Anna, 2021; Sun e Abraham, 2021; de Chaisemartin e D'Haultfœuille, 2020). Esse problema não se aplica a este desenho. Aqui a data de tratamento é única e comum a todas as ocupaç	In the multiple parenthetical citation, separate coauthors with semicolons and order works alphabetically. Add the full ABNT reference derived from library.bib to the final reference list. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-028	4.1 Abordagem de diferenças em diferenças	6	(Goodman-Bacon, 2021; Callaway e Sant'Anna, 2021; Sun e Abraham, 2021; de Chaisemartin e D'Haultfœuille, 2020)	parenthetical	callaway_difference_2021	CORRIGIR	AUSENTE		NÃO	AUSENTE		pdfs/callaway_difference_2021.pdf	gativas e estimativas viesadas quando as unidades são tratadas em **momentos diferentes** (Goodman-Bacon, 2021; Callaway e Sant'Anna, 2021; Sun e Abraham, 2021; de Chaisemartin e D'Haultfœuille, 2020). Esse problema não se aplica a este desenho. Aqui a data de tratamento é única e comum a todas as ocupaç	In the multiple parenthetical citation, separate coauthors with semicolons and order works alphabetically. Add the full ABNT reference derived from library.bib to the final reference list. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-029	4.1 Abordagem de diferenças em diferenças	6	(Goodman-Bacon, 2021; Callaway e Sant'Anna, 2021; Sun e Abraham, 2021; de Chaisemartin e D'Haultfœuille, 2020)	parenthetical	sun_estimating_2021	CORRIGIR	AUSENTE		NÃO	AUSENTE		pdfs/sun_estimating_2021.pdf	gativas e estimativas viesadas quando as unidades são tratadas em **momentos diferentes** (Goodman-Bacon, 2021; Callaway e Sant'Anna, 2021; Sun e Abraham, 2021; de Chaisemartin e D'Haultfœuille, 2020). Esse problema não se aplica a este desenho. Aqui a data de tratamento é única e comum a todas as ocupaç	In the multiple parenthetical citation, separate coauthors with semicolons and order works alphabetically. Add the full ABNT reference derived from library.bib to the final reference list. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-030	4.1 Abordagem de diferenças em diferenças	6	(Goodman-Bacon, 2021; Callaway e Sant'Anna, 2021; Sun e Abraham, 2021; de Chaisemartin e D'Haultfœuille, 2020)	parenthetical	de_chaisemartin_two-way_2020	CORRIGIR	AUSENTE		NÃO	AUSENTE		pdfs/de_chaisemartin_two-way_2020.pdf	gativas e estimativas viesadas quando as unidades são tratadas em **momentos diferentes** (Goodman-Bacon, 2021; Callaway e Sant'Anna, 2021; Sun e Abraham, 2021; de Chaisemartin e D'Haultfœuille, 2020). Esse problema não se aplica a este desenho. Aqui a data de tratamento é única e comum a todas as ocupaç	In the multiple parenthetical citation, separate coauthors with semicolons and order works alphabetically. Add the full ABNT reference derived from library.bib to the final reference list. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-031	4.1 Abordagem de diferenças em diferenças	7	Humlum e Vestergaard (2025, p. 12, nota 8)	narrative	humlum_still_2025	OK	AUSENTE		SIM	CORRIGIR	p. 12, nota 8	pdfs/humlum_still_2025.pdf	a escolha de novembro de 2022 como referência do estudo de eventos não é idiossincrática. Humlum e Vestergaard (2025, p. 12, nota 8) observam que estudos de evento centrados nessa data se tornaram comuns na literatura e citam cinco traba	Apply bold only to the main title, not the subtitle; include NBER Working Paper no. 33777. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-032	4.2 Construção do painel ocupação-mês com CAGED e crosswalk CBO → OIT	5	Klein Teeselink (2025, p. 11)	narrative	klein_teeselink_generative_2025	OK	AUSENTE		SIM	CORRIGIR	p. 11	pdfs/klein_teeselink_generative_2025.pdf	com mais tempo depois do evento do que antes, o que é prática corrente nesta literatura: Klein Teeselink (2025, p. 11) trabalha com 15 meses de pré e 30 de pós. O principal desafio metodológico é fazer a correspondência do	Apply bold only to the main title, not the subtitle. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-033	4.3 Especificação econométrica e outcomes	18	Silva e Tenreyro (2006)	narrative	santos_silva_log_2006	CORRIGIR	AUSENTE		NÃO	AUSENTE		pdfs/santos_silva_log_2006.pdf	com zeros exige transformações cujo coeficiente não recupera a elasticidade de interesse. Silva e Tenreyro (2006) mostram que a estimação log-linear é viesada sob heterocedasticidade, e Chen e Roth (2024) documentam os	Use the compound family name: Santos Silva e Tenreyro (2006). Add the full ABNT reference derived from library.bib to the final reference list. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-034	4.3 Especificação econométrica e outcomes	18	Chen e Roth (2024)	narrative	chen_logs_2024	OK	AUSENTE		NÃO	AUSENTE		pdfs/chen_logs_2024.pdf	e Tenreyro (2006) mostram que a estimação log-linear é viesada sob heterocedasticidade, e Chen e Roth (2024) documentam os problemas de $`\log(1+y)`$ na presença de zeros. A pseudo-máxima verossimilhança de Poisso	Add the full ABNT reference derived from library.bib to the final reference list. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-035	4.3 Especificação econométrica e outcomes	18	Brynjolfsson, Chandar e Chen (2025)	narrative	brynjolfsson_canaries_2025	OK	AUSENTE		SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	a a média condicional em nível e acomoda os zeros diretamente. Essa é também a escolha de Brynjolfsson, Chandar e Chen (2025), que estimam regressão de Poisson pelo mesmo motivo. Os modelos de mínimos quadrados sobre $`\log(1+y)`$	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-036	4.4 Heterogeneidade e mecanismos	1	Brynjolfsson, Chandar e Chen (2025)	narrative	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	efeitos da IA generativa podem aparecer primeiro em trabalhadores no início da carreira. [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/) mostram que, nos Estados Unidos, a queda relativa de emprego em ocupações expostas é mais intensa entre	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
CIT-037	4.4 Heterogeneidade e mecanismos	3	Benjamini e Hochberg (1995)	narrative	benjamini_controlling_1995	OK	AUSENTE		NÃO	AUSENTE		pdfs/benjamini_controlling_1995.pdf	lguns resultados significativos são esperados por acaso. Por isso adoto o procedimento de Benjamini e Hochberg (1995), que controla a taxa de falsas descobertas, aplicado sobre famílias declaradas **antes** da estimação: <	Add the full ABNT reference derived from library.bib to the final reference list. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-038	4.5 Validações e falsificações	3	Teutloff *et al.* (2025, p. 12)	narrative	teutloff_winners_2025	OK	AUSENTE		NÃO	AUSENTE	p. 12	pdfs/teutloff_winners_2025.pdf	o, descartando-se todo o período posterior ao ChatGPT. É o mesmo procedimento adotado por Teutloff *et al.* (2025, p. 12). 3. **Placebo de grupo.** Quinhentas reatribuições aleatórias do rótulo de tratamento, preservando o des	Add the full ABNT reference derived from library.bib to the final reference list. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-039	4.5 Validações e falsificações	7	Rambachan e Roth (2023)	narrative	rambachan_more_2023	OK	AUSENTE		NÃO	AUSENTE		pdfs/rambachan_more_2023.pdf	e de exposição da Anthropic. 6. **Sensibilidade a tendências prévias.** O procedimento de Rambachan e Roth (2023), nas restrições de magnitudes relativas e de suavidade, que substitui o teste binário de tendências para	Add the full ABNT reference derived from library.bib to the final reference list. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-040	5.1 Resultados médios nacionais	13	Brynjolfsson, Chandar e Chen (2025)	narrative	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	Esse quadro é coerente com a fronteira recente da literatura empírica sobre IA e emprego. [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/), principal referência desta seção, também não encontram diferenças significativas no emprego agregado en	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
CIT-041	5.1 Resultados médios nacionais	13	Humlum e Vestergaard (2025)	narrative	humlum_still_2025	OK	VÁLIDO	https://www.nber.org/papers/w33777	SIM	CORRIGIR		pdfs/humlum_still_2025.pdf	grupos, firmas e ocupações; portanto, o padrão ainda não deve ser chamado de consolidado. [Humlum e Vestergaard (2025)](https://www.nber.org/papers/w33777), com dados administrativos da Dinamarca, reportam efeitos nulos e precisos sobre ganhos e horas mesmo do	Apply bold only to the main title, not the subtitle; include NBER Working Paper no. 33777.
CIT-042	5.1 Resultados médios nacionais	13	Chandar, 2025	parenthetical	chandar_tracking_2025	OK	VÁLIDO	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5384519	SIM	OK		pdfs/chandar_tracking_2025.pdf	mo dois anos após o ChatGPT; análises com a Current Population Survey dos Estados Unidos ([Chandar, 2025](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5384519)) não identificam diferenças sistemáticas entre ocupações expostas e não expostas; e Aldasoro *et al.* (2	No correction identified in this step.
CIT-043	5.1 Resultados médios nacionais	13	Aldasoro *et al.* (2026)	narrative	aldasoro_ai_2026	OK	AUSENTE		SIM	CORRIGIR		pdfs/aldasoro_ai_2026.pdf	4519)) não identificam diferenças sistemáticas entre ocupações expostas e não expostas; e Aldasoro *et al.* (2026), com mais de 12 mil firmas não financeiras da União Europeia e dos Estados Unidos, associam a adoção de	Apply bold only to the main title, not the subtitle; include EIB Working Paper no. 2026/02. No hyperlink; adding one is optional and does not affect ABNT compliance.
CIT-044	5.1 Resultados médios nacionais	13	Hosseini Maasoum e Lichtinger (2025)	narrative	hosseini_maasoum_generative_2025	OK	VÁLIDO	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555	SIM	CORRIGIR		pdfs/hosseini_maasoum_generative_2025.pdf	fletem menor rotatividade, e não destruição de vínculos, também encontra respaldo direto: [Hosseini Maasoum e Lichtinger (2025)](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555) mostram que a contração do emprego em firmas que adotam IA vem sobretudo da desaceleração das contrataçõ	Apply bold only to the main title, not the subtitle.
CIT-045	5.1 Resultados médios nacionais	13	Klein Teeselink (2025)	narrative	klein_teeselink_generative_2025	OK	VÁLIDO	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5516798	SIM	CORRIGIR		pdfs/klein_teeselink_generative_2025.pdf	em sobretudo da desaceleração das contratações, acompanhada de queda nos desligamentos, e [Klein Teeselink (2025)](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5516798), no Reino Unido, documenta reduções tanto no emprego quanto nas novas vagas; o artigo descreve a queda d	Apply bold only to the main title, not the subtitle.
CIT-046	5.2.1 Efeitos por Sexo	9	Brynjolfsson, Chandar e Chen (2025)	narrative	brynjolfsson_canaries_2025	OK	VÁLIDO	https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/	SIM	CORRIGIR		pdfs/brynjolfsson_canaries_2025.pdf	ra: o diferencial salarial existe e não é específico de um sexo. O resultado converge com [Brynjolfsson, Chandar e Chen (2025)](https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/), que também não encontram efeitos diferenciais por sexo nos Estados Unidos. Permanece válida, e agora is	Apply bold only to the main title “Canaries in the coal mine?”; leave the subtitle without bold.
